,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
Venezuela_June_15_2019_Copa_America,0,0,11,5,1.1,1.1,20,0,31,12,2214,138,86.8,131,88.5,50,64.9,0.7,2,7,5,12,2,23,496,158,247,93,50.0,6,37,40.0,1.3,0,8.3,1
Peru_June_15_2019_Copa_America,0,0,17,4,1.8,1.8,28,0,27,18,1935,148,90.2,139,88.0,27,50.9,0.7,3,11,8,4,10,21,492,142,247,107,66.7,14,33,60.0,1.0,0,10.5,1
Argentina_June_15_2019_Copa_America,0,0,13,6,0.9,0.9,22,0,25,12,1589,211,89.4,140,87.5,26,44.8,0.6,0,17,12,14,13,25,619,142,355,130,52.9,16,47,46.2,1.3,0,12.7,0
Colombia_June_15_2019_Copa_America,2,2,8,2,1.0,1.0,13,4,28,10,1917,171,89.5,123,79.4,42,64.6,0.8,3,18,8,8,9,20,558,147,307,110,67.9,11,49,53.8,1.0,0,3.0,3
Brazil_June_14_2019_Copa_America,3,2,19,4,3.2,2.4,31,5,58,25,3207,283,91.3,229,91.6,47,69.1,2.3,3,18,13,8,12,6,778,144,431,212,68.0,7,55,75.8,0.2,0,15.3,3
Bolivia_June_14_2019_Copa_America,0,0,5,1,0.3,0.3,10,0,11,6,1258,85,81.7,41,69.5,26,40.6,0.1,0,22,13,16,11,25,366,163,160,48,52.4,10,47,24.2,2.5,0,12.0,0
Paraguay_June_16_2019_Copa_America,2,1,12,4,1.3,0.6,19,3,28,13,1795,140,87.0,106,77.9,20,46.5,0.3,1,15,10,15,3,17,460,130,237,97,100.0,13,45,42.3,1.6,0,12.0,3
Qatar_June_16_2019_Copa_America,1,2,8,3,2.2,2.2,15,2,30,14,2292,160,90.4,138,83.6,50,56.8,1.1,0,11,8,6,8,12,543,180,259,115,52.6,18,51,57.7,1.8,1,13.4,0
Uruguay_June_16_2019_Copa_America,3,3,16,7,2.4,2.4,25,5,60,17,2540,194,87.8,200,89.7,51,58.6,1.2,3,9,5,4,5,4,644,106,381,163,70.0,14,48,42.9,0.4,1,11.9,3
Ecuador_June_16_2019_Copa_America,0,0,2,1,0.4,0.4,2,0,16,5,2014,133,86.4,101,80.8,29,43.3,0.1,0,10,8,12,14,21,458,174,230,59,57.1,6,37,57.1,4.0,3,18.3,0
