,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
Turkiye_June_11_2021_European_Championship,0,0,3,0,0.6,0.6,4,0,14,4,2119,132,90.4,129,83.8,37,47.4,0.5,0,11,6,12,17,26,488,251,193,48,75.0,10,41,52.4,2.3,2,16.0,0
Italy_June_11_2021_European_Championship,2,2,24,8,1.9,1.9,40,3,69,24,3129,265,91.7,250,88.3,44,62.0,1.3,1,5,4,7,13,6,760,139,366,261,66.7,17,43,47.6,0.0,1,17.0,3
Wales_June_12_2021_European_Championship,1,1,9,2,0.4,0.4,14,2,25,13,1858,99,87.6,108,87.8,38,55.1,0.6,4,7,3,10,9,28,407,165,157,87,40.0,9,35,50.0,1.2,0,7.3,1
Switzerland_June_12_2021_European_Championship,1,1,18,4,2.1,2.1,35,2,58,22,2641,157,86.3,281,95.3,42,55.3,1.5,2,11,8,8,6,10,646,160,344,149,66.7,12,42,50.0,0.5,3,17.7,1
Denmark_June_12_2021_European_Championship,0,0,21,5,1.8,1.0,38,0,62,34,2874,283,88.2,229,86.7,35,50.7,1.5,5,10,4,7,8,6,769,80,421,273,30.0,25,59,60.5,0.3,0,5.0,0
Finland_June_12_2021_European_Championship,1,1,1,1,0.3,0.3,2,2,12,6,1679,101,80.2,75,74.3,27,37.0,0.2,1,17,7,13,22,35,426,228,156,45,40.0,7,38,39.5,1.8,0,8.6,3
Belgium_June_12_2021_European_Championship,3,2,9,4,1.4,1.4,17,6,39,19,3322,341,93.9,268,89.3,43,69.4,0.6,0,8,7,4,9,15,849,232,486,132,48.0,12,49,68.0,0.1,0,10.7,3
Russia_June_12_2021_European_Championship,0,0,5,1,0.3,0.3,8,0,19,9,1708,107,84.9,143,82.7,30,40.5,0.3,2,23,17,14,7,15,483,166,223,98,57.1,7,51,32.0,2.1,0,5.5,0
England_June_13_2021_European_Championship,1,1,8,2,1.5,1.5,12,2,27,7,2167,178,93.2,183,89.7,25,38.5,1.3,0,11,3,5,11,8,550,162,293,100,40.0,7,45,50.0,0.3,0,1.0,3
Croatia_June_13_2021_European_Championship,0,0,8,2,0.4,0.4,14,0,37,17,1896,226,90.4,128,89.5,32,51.6,0.3,2,18,7,6,3,10,561,168,281,117,66.7,14,44,50.0,0.5,1,26.0,0
