,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
Russia_June_14_2018_World_Cup,5,4,14,7,1.7,1.7,25,10,26,20,2203,128,82.1,96,73.3,47,58.0,0.8,1,24,15,15,11,16,504,109,265,141,85.7,19,57,75.0,0.0,0.0,,3
Saudi_Arabia_June_14_2018_World_Cup,0,0,6,0,0.2,0.2,11,0,27,10,2288,250,91.6,159,82.0,59,57.8,0.2,0,24,18,10,8,22,704,220,411,79,35.0,14,52,25.0,3.5,0.0,12.0,0
Egypt_June_15_2018_World_Cup,0,0,8,3,0.3,0.3,14,0,23,17,2196,190,88.0,114,75.0,31,40.3,0.3,2,23,11,10,22,22,573,202,230,154,40.0,11,63,32.4,1.5,0.0,6.3,0
Uruguay_June_15_2018_World_Cup,1,1,15,5,1.6,1.6,27,2,61,34,3148,248,88.9,215,87.0,56,66.7,2.0,1,19,12,9,29,17,758,202,381,182,68.8,15,65,67.6,0.4,0.0,11.0,3
Morocco_June_15_2018_World_Cup,0,0,13,3,0.7,0.7,23,0,51,27,2272,190,89.6,157,84.0,38,49.4,0.3,2,10,7,13,4,17,598,121,363,121,50.0,11,54,59.0,0.9,1.0,20.0,1
IR_Iran_June_15_2018_World_Cup,0,0,9,2,1.2,1.2,14,0,12,9,1189,55,72.4,53,70.7,26,32.1,0.3,0,20,10,7,11,25,351,148,144,62,80.0,9,39,41.0,0.3,0.0,6.0,1
Portugal_June_15_2018_World_Cup,3,1,8,2,1.2,0.5,16,6,30,11,2169,149,85.6,111,86.0,49,67.1,0.3,1,15,9,7,5,11,481,131,241,110,58.3,10,38,60.7,2.1,1.0,21.5,1
Spain_June_15_2018_World_Cup,3,1,13,6,1.6,1.6,21,4,45,22,3336,414,95.0,237,94.4,47,64.4,1.3,2,13,10,7,10,12,874,168,498,214,63.6,23,34,39.3,1.5,1.0,19.3,1
France_June_16_2018_World_Cup,1,0,11,4,1.3,0.5,22,2,52,13,2639,209,90.9,152,82.6,64,69.6,0.9,0,15,11,10,5,25,659,133,363,166,47.1,22,58,48.0,1.0,2.0,22.0,1
Australia_June_16_2018_World_Cup,1,0,5,0,1.0,0.2,10,1,22,4,2208,151,88.8,151,87.3,39,51.3,0.2,1,24,13,9,8,44,557,236,252,73,62.5,8,43,52.0,1.4,3.0,20.4,1
Argentina_June_16_2018_World_Cup,1,1,26,6,1.9,1.1,47,1,63,38,2693,392,91.8,249,90.2,35,64.8,1.1,2,13,10,8,5,27,914,131,449,341,73.9,32,46,48.8,0.7,0.0,5.3,1
Iceland_June_16_2018_World_Cup,1,0,8,2,1.1,1.1,12,1,20,8,1460,56,68.3,47,85.5,29,37.7,0.3,2,21,11,17,23,38,364,179,116,70,64.3,6,37,51.2,1.8,0.0,5.7,1
Peru_June_16_2018_World_Cup,0,0,16,6,1.7,0.9,31,0,36,27,2706,160,88.9,147,86.5,48,59.3,1.1,4,13,8,5,5,23,547,176,213,164,81.8,23,44,47.1,0.9,1.0,32.0,0
Denmark_June_16_2018_World_Cup,1,1,10,3,1.0,1.0,15,2,36,8,2369,159,87.8,102,79.7,30,44.8,0.3,0,17,13,14,8,24,501,132,244,130,66.7,11,45,52.9,0.7,1.0,9.5,3
Croatia_June_16_2018_World_Cup,1,0,10,1,1.5,0.7,20,1,33,19,2718,194,84.7,155,83.3,49,56.3,0.7,2,14,5,8,8,32,635,189,328,128,47.1,6,58,60.9,0.4,0.0,13.0,3
Nigeria_June_16_2018_World_Cup,0,0,14,2,0.7,0.7,28,0,33,14,2398,142,88.8,149,80.5,29,38.2,0.7,1,17,10,7,11,21,542,182,274,93,74.1,8,47,39.1,1.8,0.0,9.0,0
Costa_Rica_June_17_2018_World_Cup,0,0,10,3,1.0,1.0,17,0,35,11,2726,180,90.5,147,83.1,57,55.9,0.6,4,20,11,8,15,19,605,165,304,141,42.9,13,52,47.9,1.1,0.0,8.8,0
Serbia_June_17_2018_World_Cup,1,0,10,3,0.9,0.9,20,2,39,23,2562,140,81.9,147,82.1,46,56.8,1.4,3,25,17,8,5,28,572,157,300,120,64.7,12,55,52.1,0.3,0.0,14.0,3
Germany_June_17_2018_World_Cup,0,0,26,9,1.4,1.4,49,0,101,16,3570,251,92.6,224,87.8,64,68.1,1.6,4,12,7,11,9,6,742,125,307,312,63.6,26,47,50.0,1.2,8.0,28.3,0
Mexico_June_17_2018_World_Cup,1,1,13,4,1.3,1.3,24,2,22,18,2344,105,86.8,110,86.6,38,50.0,0.7,0,21,14,18,19,34,475,214,181,88,66.7,14,37,50.0,1.1,0.0,10.0,3
Brazil_June_17_2018_World_Cup,1,0,21,4,2.2,2.2,37,2,51,25,2981,272,92.5,180,87.8,29,58.0,1.1,2,11,7,14,11,15,693,198,327,172,61.5,14,62,52.2,1.1,0.0,8.3,1
Switzerland_June_17_2018_World_Cup,1,1,6,2,0.9,0.9,11,2,35,16,2454,160,87.4,169,85.4,40,52.6,1.2,1,24,13,11,13,22,585,186,275,130,30.8,10,56,47.8,1.4,0.0,18.0,1
Sweden_June_18_2018_World_Cup,1,0,14,3,2.3,1.5,25,2,33,20,2510,196,86.3,140,82.4,43,55.8,1.0,1,16,7,9,10,19,596,148,299,153,81.8,13,37,54.3,0.0,1.0,13.0,3
Korea_Republic_June_18_2018_World_Cup,0,0,5,0,0.3,0.3,10,0,25,17,1961,140,87.5,109,81.3,43,55.1,0.4,1,12,11,11,15,32,511,181,212,124,58.8,13,46,45.7,2.2,0.0,9.3,0
Belgium_June_18_2018_World_Cup,3,2,15,6,2.0,2.0,27,6,53,27,2700,212,88.7,261,90.9,33,47.8,1.2,0,12,9,10,6,8,695,161,366,168,53.3,16,56,64.3,0.6,1.0,12.7,3
Panama_June_18_2018_World_Cup,0,0,7,2,0.5,0.5,14,0,26,10,2253,165,88.2,84,83.2,39,57.4,0.2,1,17,10,7,12,25,481,157,244,87,41.7,8,54,35.7,2.4,0.0,11.0,0
Tunisia_June_18_2018_World_Cup,1,0,5,0,1.0,0.2,11,2,11,7,1646,146,90.7,99,86.1,32,45.7,0.3,2,20,12,12,10,18,474,220,203,52,64.3,9,46,23.3,0.9,0.0,16.0,0
England_June_18_2018_World_Cup,2,1,18,7,2.9,2.9,30,2,52,18,2702,223,92.9,165,88.7,72,73.5,1.8,2,12,6,7,7,4,661,98,390,180,66.7,23,48,76.7,1.0,3.0,36.0,3
Colombia_June_19_2018_World_Cup,1,0,8,3,1.0,1.0,13,1,32,10,2289,147,87.0,129,78.2,35,53.0,0.7,2,18,15,5,10,22,522,170,249,108,35.3,10,48,46.5,2.5,0.0,10.0,0
Japan_June_19_2018_World_Cup,2,1,13,5,2.3,1.7,23,3,37,21,2725,267,90.2,184,86.0,44,61.1,1.0,1,22,13,18,7,19,740,129,450,167,76.9,17,53,53.5,0.9,1.0,37.0,3
Poland_June_19_2018_World_Cup,1,1,11,4,0.8,0.8,21,2,44,13,3409,188,84.7,226,90.8,62,67.4,1.1,2,12,12,6,6,19,683,177,387,128,57.1,12,58,50.0,0.6,3.0,24.4,1
